Distance_(mm),Gray_Value
16.5608,22.0484
16.6129,22.1129
16.6650,22.0645
16.7171,22.1774
16.7692,22.0968
16.8212,22.2097
16.8733,22.4194
16.9254,22.5968
16.9775,22.5161
17.0295,22.7581
17.0816,22.8710
17.1337,23.0323
17.1858,23.0000
17.2379,23.1935
17.2899,23.4516
17.3420,23.6452
17.3941,23.8548
17.4462,23.9677
17.4982,23.9194
17.5503,24.0968
17.6024,24.3387
17.6545,24.5645
17.7066,24.7258
17.7586,25.0323
17.8107,25.0806
17.8628,25.6774
17.9149,25.8871
17.9670,26.2419
18.0190,26.3710
18.0711,27.0000
18.1232,27.3065
18.1753,27.5806
18.2273,27.8710
18.2794,28.0323
18.3315,28.4677
18.3836,28.7581
18.4357,29.2097
18.4877,29.4194
18.5398,29.6774
18.5919,29.9355
18.6440,30.1613
18.6960,30.4839
18.7481,30.8710
18.8002,31.0000
18.8523,31.0645
18.9044,31.6774
18.9564,31.9032
19.0085,32.0161
19.0606,32.1774
19.1127,32.9194
19.1647,33.0161
19.2168,33.1452
19.2689,33.4677
19.3210,33.6452
19.3731,33.7903
19.4251,33.7903
19.4772,33.9194
19.5293,34.0000
19.5814,34.4677
19.6335,35.0161
19.6855,35.2258
19.7376,35.2419
19.7897,35.0806
19.8418,35.3710
19.8938,35.8710
19.9459,36.0806
19.9980,36.0161
20.0501,35.7581
20.1022,35.9032
20.1542,36.2742
20.2063,36.2097
20.2584,36.4516
20.3105,36.9677
20.3625,37.0484
20.4146,37.3871
20.4667,38.0645
20.5188,38.0000
20.5709,38.4194
20.6229,39.0484
20.6750,39.7581
20.7271,40.0645
20.7792,40.0323
20.8312,41.0161
20.8833,41.5161
20.9354,41.2419
20.9875,41.5484
21.0396,42.2419
21.0916,42.3548
21.1437,42.6129
21.1958,43.1452
21.2479,43.7903
21.3000,44.8064
21.3520,45.2097
21.4041,45.0161
21.4562,45.6129
21.5083,46.5000
21.5603,46.5806
21.6124,47.6129
21.6645,48.2097
21.7166,48.6936
21.7687,49.1129
21.8207,49.1452
21.8728,49.7258
21.9249,50.2419
21.9770,50.3387
22.0290,51.0484
22.0811,51.3548
22.1332,51.5484
22.1853,51.7742
22.2374,52.3548
22.2894,52.3710
22.3415,53.0484
22.3936,53.2742
22.4457,53.2419
22.4977,53.6129
22.5498,54.2419
22.6019,54.4677
22.6540,54.7258
22.7061,54.5161
22.7581,54.7419
22.8102,54.9355
22.8623,54.7903
22.9144,55.1936
22.9665,55.2097
23.0185,54.9194
23.0706,54.6774
23.1227,54.7419
23.1748,54.9516
23.2268,55.1129
23.2789,55.0484
23.3310,55.1936
23.3831,55.3387
23.4352,55.2903
23.4872,55.0968
23.5393,55.1129
23.5914,55.0968
23.6435,55.5161
23.6955,55.7903
23.7476,55.8871
23.7997,56.1129
23.8518,56.6936
23.9039,56.7258
23.9559,56.9839
24.0080,56.8710
24.0601,57.4032
24.1122,57.9194
24.1642,58.1774
24.2163,58.7742
24.2684,59.3871
24.3205,59.6613
24.3726,59.8226
24.4246,60.1452
24.4767,60.5645
24.5288,61.7419
24.5809,61.8548
24.6330,62.3548
24.6850,62.2258
24.7371,62.6774
24.7892,62.6774
24.8413,62.7419
24.8933,62.7419
24.9454,63.0806
24.9975,63.2581
25.0496,63.0968
