Distance_(mm),Gray_Value
0.00000,19.6316
0.00520,19.8158
0.01041,19.9079
0.01561,19.9868
0.02081,20.0526
0.02602,20.0658
0.03122,20.1842
0.03642,20.2105
0.04163,20.2895
0.04683,20.4605
0.05203,20.5132
0.05723,20.4737
0.06244,20.3816
0.06764,20.4342
0.07284,20.3421
0.07805,20.3816
0.08325,20.3289
0.08845,20.3421
0.09366,20.2368
0.09886,20.2237
0.10406,20.0789
0.10927,20.1053
0.11447,20.0000
0.11967,19.8553
0.12488,19.8289
0.13008,19.7105
0.13528,19.5132
0.14048,19.3816
0.14569,19.3289
0.15089,19.1316
0.15609,18.9605
0.16130,18.8553
0.16650,18.7368
0.17170,18.5526
0.17691,18.5132
0.18211,18.3421
0.18731,18.2105
0.19252,18.1842
0.19772,18.0789
0.20292,17.9605
0.20812,17.8553
0.21333,17.7237
0.21853,17.6447
0.22373,17.5921
0.22894,17.4737
0.23414,17.4605
0.23934,17.4342
0.24455,17.3421
0.24975,17.2763
0.25495,17.2632
0.26016,17.2632
0.26536,17.2368
0.27056,17.2500
0.27577,17.2895
0.28097,17.2632
0.28617,17.2237
0.29138,17.3553
0.29658,17.3553
0.30178,17.3947
0.30698,17.5132
0.31219,17.5526
0.31739,17.6579
0.32259,17.7895
0.32780,17.9737
0.33300,18.0921
0.33820,18.2237
0.34341,18.3816
0.34861,18.5000
0.35381,18.7237
0.35902,18.8553
0.36422,18.8947
0.36942,19.1184
0.37462,19.3158
0.37983,19.5000
0.38503,19.5921
0.39023,19.8421
0.39544,19.9079
0.40064,20.0921
0.40584,20.1579
0.41105,20.3289
0.41625,20.4737
0.42145,20.6053
0.42666,20.7237
0.43186,20.9079
0.43706,20.9211
0.44227,21.0921
0.44747,21.1842
0.45267,21.2763
0.45788,21.3289
0.46308,21.3289
0.46828,21.3553
0.47348,21.4211
0.47869,21.3816
0.48389,21.2895
0.48909,21.4342
0.49430,21.3684
0.49950,21.4474
0.50470,21.3289
0.50991,21.3947
0.51511,21.2500
0.52031,21.2237
0.52552,21.1579
0.53072,21.0263
0.53592,20.8816
0.54112,20.9079
0.54633,20.6711
0.55153,20.6974
0.55673,20.6447
0.56194,20.5921
0.56714,20.4211
0.57234,20.2105
0.57755,20.1447
0.58275,19.8947
0.58795,19.8289
0.59316,19.5263
0.59836,19.3421
0.60356,19.2500
0.60877,19.0921
0.61397,18.9211
0.61917,18.7500
0.62437,18.6579
0.62958,18.5658
0.63478,18.4211
0.63998,18.2500
0.64519,18.1711
0.65039,18.0921
0.65559,17.9737
0.66080,17.8816
0.66600,17.7368
0.67120,17.6711
0.67641,17.6053
0.68161,17.4605
0.68681,17.4342
0.69202,17.3816
0.69722,17.3158
0.70242,17.3158
0.70762,17.3289
0.71283,17.2763
0.71803,17.2632
0.72323,17.2368
0.72844,17.2368
0.73364,17.2632
0.73884,17.2500
0.74405,17.2895
0.74925,17.2895
0.75445,17.4079
0.75966,17.3947
0.76486,17.4737
0.77006,17.5132
0.77527,17.5526
0.78047,17.6053
0.78567,17.6842
0.79088,17.7368
0.79608,17.7632
0.80128,17.8289
0.80648,17.8816
0.81169,17.9342
0.81689,17.9605
0.82209,18.0789
0.82730,18.1842
0.83250,18.2105
0.83770,18.2632
0.84291,18.3684
0.84811,18.4079
0.85331,18.3947
0.85852,18.5263
0.86372,18.6184
0.86892,18.5789
0.87413,18.6184
0.87933,18.6316
0.88453,18.7105
0.88973,18.8026
0.89494,18.7763
0.90014,18.7500
0.90534,18.7500
0.91055,18.7500
0.91575,18.8289
0.92095,18.8158
0.92616,18.8158
0.93136,18.8026
0.93656,18.6974
0.94177,18.6842
0.94697,18.5921
0.95217,18.5921
0.95737,18.6842
0.96258,18.5789
0.96778,18.6053
0.97298,18.5263
0.97819,18.5789
0.98339,18.5132
0.98859,18.4342
0.99380,18.3553
0.99900,18.3684
1.00420,18.3553
1.00941,18.3158
1.01461,18.2500
1.01981,18.2632
1.02502,18.2237
1.03022,18.2105
1.03542,18.1711
1.04062,18.0395
1.04583,18.0263
1.05103,18.0658
1.05623,18.0000
1.06144,17.9474
1.06664,17.9737
1.07184,17.8947
1.07705,17.8684
1.08225,17.8553
1.08745,17.7368
1.09266,17.7368
1.09786,17.6974
1.10306,17.6447
1.10827,17.6447
1.11347,17.5526
1.11867,17.5658
1.12388,17.5000
1.12908,17.4737
1.13428,17.4211
1.13948,17.3947
1.14469,17.3684
1.14989,17.3421
1.15509,17.2368
1.16030,17.3158
1.16550,17.2632
1.17070,17.2895
1.17591,17.2500
1.18111,17.2763
1.18631,17.3026
1.19152,17.3553
1.19672,17.3158
1.20192,17.3684
1.20712,17.3553
1.21233,17.3553
1.21753,17.4079
1.22273,17.4605
1.22794,17.5000
1.23314,17.5263
1.23834,17.6579
1.24355,17.6316
1.24875,17.7500
1.25395,17.9342
1.25916,18.1447
1.26436,18.4737
1.26956,18.6447
1.27477,18.8026
1.27997,18.8947
1.28517,18.9868
1.29037,19.1974
1.29558,19.4211
1.30078,19.6053
1.30598,19.8553
1.31119,20.1447
1.31639,20.2500
1.32159,20.4868
1.32680,20.7368
1.33200,21.0263
1.33720,21.1447
1.34241,21.5132
1.34761,21.6316
1.35281,21.8026
1.35802,22.0789
1.36322,22.4079
1.36842,22.5395
1.37363,22.7500
1.37883,22.9474
1.38403,23.0921
1.38923,23.3421
1.39444,23.5263
1.39964,23.5658
1.40484,23.7763
1.41005,23.8684
1.41525,23.9737
1.42045,23.9737
1.42566,24.0789
1.43086,24.0000
1.43606,24.0132
1.44127,23.9868
1.44647,23.9605
1.45167,23.8553
1.45687,23.7500
1.46208,23.6053
1.46728,23.4868
1.47248,23.3553
1.47769,23.1184
1.48289,22.9474
1.48809,22.7237
1.49330,22.4605
1.49850,22.3026
1.50370,21.9868
1.50891,21.6842
1.51411,21.4605
1.51931,21.2500
1.52452,20.9342
1.52972,20.6053
1.53492,20.3816
1.54013,20.0263
1.54533,19.6184
1.55053,19.4211
1.55573,19.0658
1.56094,18.7632
1.56614,18.5921
1.57134,18.2763
1.57655,18.0789
1.58175,17.8816
1.58695,17.6579
1.59216,17.5395
1.59736,17.4868
1.60256,17.3947
1.60777,17.3684
1.61297,17.4079
1.61817,17.4737
1.62338,17.5789
1.62858,17.7500
1.63378,18.0263
1.63898,18.2895
1.64419,18.6184
1.64939,18.9737
1.65459,19.4079
1.65980,19.9342
1.66500,20.5395
1.67020,21.1711
1.67541,21.8289
1.68061,22.3947
1.68581,23.3684
1.69102,24.0395
1.69622,25.0000
1.70142,25.8553
1.70662,26.8289
1.71183,27.4737
1.71703,28.3947
1.72223,29.5263
1.72744,30.8421
1.73264,31.7632
1.73784,32.9079
1.74305,33.7763
1.74825,35.1316
1.75345,36.4737
1.75866,37.4868
1.76386,38.7237
1.76906,39.9868
1.77427,40.8421
1.77947,42.0000
1.78467,42.8026
1.78988,44.3553
1.79508,45.1974
1.80028,46.5658
1.80548,46.7895
1.81069,47.7895
1.81589,48.5658
1.82109,49.5658
1.82630,50.3289
1.83150,50.8947
1.83670,51.2632
1.84191,51.5921
1.84711,51.5000
1.85231,51.6053
1.85752,51.8421
1.86272,52.7237
1.86792,51.7105
1.87312,51.9211
1.87833,51.6711
1.88353,51.1053
1.88873,50.5921
1.89394,50.4737
1.89914,49.3684
1.90434,48.2500
1.90955,47.3553
1.91475,46.8289
1.91995,45.3816
1.92516,44.5921
1.93036,43.0263
1.93556,41.9211
1.94077,40.5658
1.94597,39.3421
1.95117,37.8421
1.95638,36.4342
1.96158,34.9342
1.96678,33.9737
1.97198,32.5526
1.97719,31.2105
1.98239,29.5263
1.98759,28.0658
1.99280,26.7763
1.99800,25.5263
2.00320,24.2368
2.00841,23.1447
2.01361,22.1184
2.01881,21.0395
2.02402,20.2895
2.02922,19.4342
2.03442,18.8947
2.03962,18.4605
2.04483,18.0789
2.05003,17.8947
2.05523,17.8158
2.06044,17.9211
2.06564,18.1974
2.07084,18.5395
2.07605,19.1711
2.08125,19.7368
2.08645,20.5395
2.09166,21.5395
2.09686,22.5526
2.10206,23.6184
2.10727,25.1579
2.11247,26.6316
2.11767,28.3158
2.12287,30.0658
2.12808,31.9211
2.13328,34.2895
2.13848,36.5263
2.14369,38.1579
2.14889,40.6579
2.15409,43.1447
2.15930,45.4605
2.16450,48.6053
2.16970,51.2763
2.17491,53.7105
2.18011,56.1711
2.18531,57.6842
2.19052,59.4868
2.19572,61.1711
2.20092,62.0395
2.20613,63.6711
2.21133,64.9868
2.21653,66.0263
2.22173,66.9737
2.22694,67.7895
2.23214,68.2632
2.23734,69.2368
2.24255,69.6316
2.24775,70.3026
2.25295,70.1842
2.25816,70.8684
2.26336,71.0132
2.26856,71.1579
2.27377,70.9868
2.27897,70.7105
2.28417,71.4342
2.28938,70.8553
2.29458,70.7105
2.29978,70.5921
2.30498,70.2105
2.31019,69.8421
2.31539,69.5526
2.32059,69.1579
2.32580,68.3289
2.33100,67.9474
2.33620,67.6842
2.34141,67.1711
2.34661,66.1711
2.35181,65.3684
2.35702,64.5263
2.36222,63.5658
2.36742,62.3158
2.37263,61.3289
2.37783,60.5658
2.38303,59.2237
2.38823,57.6579
2.39344,55.4474
2.39864,53.4474
2.40384,50.8421
