Distance_(mm),Gray_Value
1.65459,17.7451
1.65980,17.7843
1.66500,17.7843
1.67020,17.7647
1.67541,17.8824
1.68061,17.9020
1.68581,17.8039
1.69102,17.8039
1.69622,17.8235
1.70142,17.8824
1.70662,17.9804
1.71183,17.9804
1.71703,18.0000
1.72223,18.0784
1.72744,18.0980
1.73264,18.2745
1.73784,18.3137
1.74305,18.3922
1.74825,18.5490
1.75345,18.7647
1.75866,18.8235
1.76386,19.0392
1.76906,19.1961
1.77427,19.4118
1.77947,19.7059
1.78467,20.0392
1.78988,20.3725
1.79508,20.4902
1.80028,20.7255
1.80548,20.8824
1.81069,21.1373
1.81589,21.6078
1.82109,21.7647
1.82630,22.0196
1.83150,22.4118
1.83670,22.6863
1.84191,22.9020
1.84711,23.1569
1.85231,23.4314
1.85752,23.6078
1.86272,23.8039
1.86792,24.0196
1.87312,24.1373
1.87833,24.4706
1.88353,24.7451
1.88873,24.9412
1.89394,25.0000
1.89914,25.1765
1.90434,25.5098
1.90955,25.6275
1.91475,25.9804
1.91995,26.0392
1.92516,26.4118
1.93036,26.5098
1.93556,26.7451
1.94077,26.9216
1.94597,27.0784
1.95117,27.1373
1.95638,27.3333
1.96158,27.2157
1.96678,27.3137
1.97198,27.0196
1.97719,26.7451
1.98239,26.4902
1.98759,26.2549
1.99280,25.9412
1.99800,25.6863
2.00320,25.3529
2.00841,25.0588
2.01361,24.8235
2.01881,24.3137
2.02402,23.9804
2.02922,23.4706
2.03442,23.0588
2.03962,22.8039
2.04483,22.3333
2.05003,22.1961
2.05523,21.8431
2.06044,21.6078
2.06564,21.2353
2.07084,20.9804
2.07605,20.7255
2.08125,20.6078
2.08645,20.3725
2.09166,20.2353
2.09686,20.1373
2.10206,20.1373
2.10727,19.9020
2.11247,20.0980
2.11767,20.2745
2.12287,20.4510
2.12808,20.7647
2.13328,20.9804
2.13848,21.3333
2.14369,21.8039
2.14889,22.3137
2.15409,23.0000
2.15930,23.8039
2.16450,24.5294
2.16970,25.2549
2.17491,26.1176
2.18011,27.0588
2.18531,28.0980
2.19052,29.5490
2.19572,30.7647
2.20092,32.2157
2.20613,33.4510
2.21133,35.1176
2.21653,36.5882
2.22173,38.1176
2.22694,40.1176
2.23214,41.8431
2.23734,43.8824
2.24255,45.6863
2.24775,47.7647
2.25295,49.1176
2.25816,50.8824
2.26336,52.3137
2.26856,54.4314
2.27377,56.3922
2.27897,57.9804
2.28417,59.5294
2.28938,60.6078
2.29458,62.3333
2.29978,63.6078
2.30498,64.6471
2.31019,66.2745
2.31539,67.6274
2.32059,68.5882
2.32580,69.6471
2.33100,70.5686
2.33620,72.3922
2.34141,73.4706
2.34661,74.4510
2.35181,74.7255
2.35702,74.7647
2.36222,74.2157
2.36742,73.7451
2.37263,73.8627
2.37783,74.2549
2.38303,73.5098
2.38823,72.1765
2.39344,71.5490
2.39864,71.4902
2.40384,70.6274
2.40905,68.2549
2.41425,67.0784
2.41945,65.7255
2.42466,64.0588
2.42986,62.6667
2.43506,60.5882
2.44027,58.4118
2.44547,56.8235
2.45067,54.4510
2.45587,52.6275
2.46108,50.5882
2.46628,48.6863
2.47148,46.0588
2.47669,44.0784
2.48189,42.1765
2.48709,40.4510
2.49230,38.6078
2.49750,36.9020
2.50270,35.5490
2.50791,34.1373
2.51311,32.8824
2.51831,31.8235
2.52352,30.9020
2.52872,30.0196
2.53392,29.3922
2.53912,28.6863
2.54433,28.3922
2.54953,27.9804
2.55473,28.0588
2.55994,28.2941
2.56514,28.7255
2.57034,29.1373
2.57555,29.9804
2.58075,30.7255
2.58595,31.9020
2.59116,33.0784
2.59636,34.7255
2.60156,36.8039
2.60677,38.8431
2.61197,41.2941
2.61717,43.9608
2.62238,46.3922
2.62758,49.1961
2.63278,52.6863
2.63798,55.0000
2.64319,58.3922
2.64839,62.2941
2.65359,67.0000
2.65880,70.4902
2.66400,72.7059
2.66920,75.5098
2.67441,77.8431
2.67961,79.6078
2.68481,82.0392
2.69002,83.6471
2.69522,85.0784
2.70042,86.8039
2.70563,88.3529
2.71083,89.2941
2.71603,90.5686
2.72123,91.1569
2.72644,92.4510
2.73164,93.1961
2.73684,94.0392
2.74205,95.0588
2.74725,95.7843
2.75245,95.9412
2.75766,96.4510
2.76286,97.3333
2.76806,97.7647
2.77327,98.0392
2.77847,98.5686
2.78367,99.1373
2.78888,99.5294
2.79408,99.1765
2.79928,99.4118
2.80448,99.8039
2.80969,99.2941
2.81489,99.4510
2.82009,99.8039
2.82530,100.1765
2.83050,99.4902
2.83570,99.1765
2.84091,99.1765
2.84611,98.3726
2.85131,98.0392
2.85652,97.4314
2.86172,97.1765
2.86692,96.3529
2.87212,95.2941
2.87733,93.6471
2.88253,92.8431
2.88773,91.4510
2.89294,89.4902
2.89814,86.9804
2.90334,85.1765
2.90855,81.2745
2.91375,77.7059
2.91895,72.9804
2.92416,69.4118
2.92936,65.9412
2.93456,62.7647
2.93977,59.0392
2.94497,56.2353
2.95017,52.3922
2.95537,49.2157
2.96058,46.0588
2.96578,43.6275
2.97098,41.1569
2.97619,39.0392
2.98139,36.5882
2.98659,34.9412
2.99180,33.1569
2.99700,31.9804
3.00220,31.2157
3.00741,31.1765
3.01261,31.1373
3.01781,32.0000
3.02302,33.1961
3.02822,34.9020
3.03342,37.0196
3.03863,39.3922
3.04383,42.2745
3.04903,46.1176
3.05423,50.2941
3.05944,54.4510
3.06464,58.6667
3.06984,63.2549
3.07505,68.3726
3.08025,72.3137
3.08545,76.4902
3.09066,77.9020
3.09586,80.6863
3.10106,81.8039
3.10627,83.9412
3.11147,85.0588
3.11667,85.0392
3.12188,87.2157
3.12708,87.3333
3.13228,88.3922
3.13748,89.8627
3.14269,91.1373
3.14789,90.4314
3.15309,91.7059
3.15830,93.1961
3.16350,93.5098
3.16870,92.9608
3.17391,93.0000
3.17911,94.6078
3.18431,96.3137
3.18952,97.4314
3.19472,98.8235
3.19992,100.2745
3.20513,102.0196
3.21033,102.5098
3.21553,103.4118
3.22073,104.2941
3.22594,105.1176
3.23114,106.2745
3.23634,106.9412
3.24155,107.9216
3.24675,108.2549
3.25195,108.8431
3.25716,108.6863
3.26236,107.3137
3.26756,106.1176
3.27277,106.6667
3.27797,108.9804
3.28317,109.6863
3.28837,110.4510
3.29358,109.2941
3.29878,107.5294
3.30398,105.7059
3.30919,105.1569
3.31439,104.5686
3.31959,102.6078
3.32480,100.4510
3.33000,99.7451
3.33520,97.3333
3.34041,94.3922
3.34561,92.6471
3.35081,91.0784
3.35602,85.7059
3.36122,83.5686
3.36642,79.5882
3.37162,74.7451
3.37683,69.7255
3.38203,64.9020
3.38723,61.4118
3.39244,56.8039
3.39764,53.4706
3.40284,49.4902
3.40805,46.3922
3.41325,43.0784
3.41845,40.6275
3.42366,38.4314
3.42886,36.0784
3.43406,34.0784
3.43927,32.4118
3.44447,31.3725
3.44967,30.0784
3.45487,28.9020
3.46008,28.2941
3.46528,28.1569
3.47048,27.9216
3.47569,28.0196
3.48089,28.4118
3.48609,29.0980
3.49130,30.1765
3.49650,31.4706
3.50170,32.9804
3.50691,35.1569
3.51211,37.7059
3.51731,40.6471
3.52252,43.7451
3.52772,46.3529
3.53292,49.9020
3.53813,53.7451
3.54333,57.8824
3.54853,62.3922
3.55373,67.5294
3.55894,71.8627
3.56414,75.5686
3.56934,78.5098
3.57455,81.2745
3.57975,83.3726
3.58495,85.4314
3.59016,87.1176
3.59536,88.7647
3.60056,89.8824
3.60577,90.9804
3.61097,92.1176
3.61617,92.8431
3.62138,93.2745
3.62658,94.1176
3.63178,94.7647
3.63698,95.0000
3.64219,95.9412
3.64739,96.2157
3.65259,96.7059
3.65780,96.8627
3.66300,97.2549
3.66820,97.4314
3.67341,97.8431
3.67861,97.7255
3.68381,97.8824
3.68902,98.3922
3.69422,98.6863
3.69942,98.4118
3.70462,98.5294
3.70983,98.7647
3.71503,98.8627
3.72023,98.4510
3.72544,97.9020
3.73064,97.3922
3.73584,97.2941
3.74105,96.5882
3.74625,95.9020
3.75145,95.0588
3.75666,94.0196
3.76186,92.6274
3.76706,91.1569
3.77227,89.6078
3.77747,88.2353
3.78267,86.3726
3.78787,84.3922
3.79308,81.2353
3.79828,77.7843
3.80348,74.0392
3.80869,70.6078
3.81389,66.2157
3.81909,62.3725
3.82430,58.2353
3.82950,54.5294
3.83470,51.4706
3.83991,48.2745
3.84511,45.3922
3.85031,42.5686
3.85552,40.1765
3.86072,37.6667
3.86592,35.5686
3.87112,33.8235
3.87633,32.3725
3.88153,30.6275
3.88673,29.2549
3.89194,28.2157
3.89714,27.3137
3.90234,26.7647
3.90755,25.9216
3.91275,25.8431
3.91795,25.6863
3.92316,25.8431
3.92836,26.0196
