Distance_(mm),Gray_Value
16.5608,53.0183
16.6129,53.0917
16.6650,53.1009
16.7171,53.2294
16.7692,53.6789
16.8212,53.6422
16.8733,53.9358
16.9254,54.0734
16.9775,54.2018
17.0295,53.9817
17.0816,54.2294
17.1337,54.5321
17.1858,54.6697
17.2379,55.0275
17.2899,55.1101
17.3420,55.4037
17.3941,55.6881
17.4462,56.1009
17.4982,56.3670
17.5503,56.2844
17.6024,56.5688
17.6545,56.6055
17.7066,57.0642
17.7586,57.0000
17.8107,57.2294
17.8628,57.5413
17.9149,57.8899
17.9670,57.8624
18.0190,58.0642
18.0711,57.8257
18.1232,58.4128
18.1753,58.4954
18.2273,58.9541
18.2794,58.8073
18.3315,58.7248
18.3836,58.9908
18.4357,59.5046
18.4877,59.4587
18.5398,59.7156
18.5919,60.1193
18.6440,60.5138
18.6960,60.5138
18.7481,60.5138
18.8002,60.6881
18.8523,61.4128
18.9044,61.5321
18.9564,62.3395
19.0085,62.4312
19.0606,63.0550
19.1127,63.3486
19.1647,63.5963
19.2168,63.5229
19.2689,63.8165
19.3210,64.3211
19.3731,65.3486
19.4251,65.5138
19.4772,65.7706
19.5293,65.8257
19.5814,66.5688
19.6335,66.6973
19.6855,67.1560
19.7376,67.7431
19.7897,67.7615
19.8418,67.6239
19.8938,68.0183
19.9459,67.9633
19.9980,68.4495
20.0501,68.2661
20.1022,68.4495
20.1542,68.6606
20.2063,68.8349
20.2584,68.8716
20.3105,68.8440
20.3625,69.2202
20.4146,69.5872
20.4667,69.9174
20.5188,69.8257
20.5709,70.0000
20.6229,70.0000
20.6750,70.2385
20.7271,70.1560
20.7792,70.1835
20.8312,70.4037
20.8833,70.3303
20.9354,70.7156
20.9875,70.5596
21.0396,70.4587
21.0916,70.1651
21.1437,70.2936
21.1958,70.6514
21.2479,70.5688
21.3000,69.9908
21.3520,69.8991
21.4041,69.8532
21.4562,70.3394
21.5083,70.5688
21.5603,71.0642
21.6124,71.1284
21.6645,71.0550
21.7166,71.0367
21.7687,71.4220
21.8207,71.5596
21.8728,72.1468
21.9249,72.3853
21.9770,72.4862
22.0290,72.4495
22.0811,72.9633
22.1332,73.4404
22.1853,73.6881
22.2374,73.7706
22.2894,74.0367
22.3415,74.2844
22.3936,74.5963
22.4457,74.6973
22.4977,74.9725
22.5498,75.0275
22.6019,75.1835
22.6540,75.2294
22.7061,75.0642
22.7581,75.1376
22.8102,75.4495
22.8623,75.3578
22.9144,75.9725
22.9665,75.6697
23.0185,76.3211
23.0706,76.3119
23.1227,76.5046
23.1748,76.5138
23.2268,76.3486
23.2789,76.0000
23.3310,76.1468
23.3831,76.0459
23.4352,76.0459
23.4872,76.1927
23.5393,76.0734
23.5914,75.9908
23.6435,76.2752
23.6955,76.4954
23.7476,76.4862
23.7997,76.8440
23.8518,76.5780
23.9039,76.9908
23.9559,76.9908
24.0080,77.2385
24.0601,77.1743
24.1122,77.4312
24.1642,77.3303
24.2163,77.4128
24.2684,77.5321
24.3205,77.6606
24.3726,77.7431
24.4246,77.4220
24.4767,77.3394
24.5288,77.3486
24.5809,77.6973
24.6330,77.8624
24.6850,78.0092
24.7371,77.7248
24.7892,77.8257
24.8413,77.5138
24.8933,77.3394
24.9454,77.3027
24.9975,77.8349
25.0496,78.0734
25.1017,78.1284
25.1537,77.9633
25.2058,77.9725
25.2579,78.3578
25.3100,78.7431
25.3620,78.8440
25.4141,78.5505
25.4662,78.9725
25.5183,79.6055
25.5704,79.7523
25.6224,79.3303
25.6745,79.9083
25.7266,80.2294
25.7787,80.4587
25.8307,80.6055
25.8828,80.2569
25.9349,80.3670
25.9870,80.0734
26.0391,80.6881
26.0911,81.4037
26.1432,81.2477
26.1953,81.4312
26.2474,81.8532
26.2995,82.0183
26.3515,81.7248
26.4036,81.8624
26.4557,81.9541
26.5078,81.9633
26.5598,81.9358
26.6119,81.8349
26.6640,81.7156
26.7161,81.3945
26.7682,80.9358
26.8202,80.7890
26.8723,80.8073
26.9244,80.4954
26.9765,80.4954
27.0285,80.2110
27.0806,79.4312
27.1327,79.6789
27.1848,80.7798
27.2369,80.8440
27.2889,81.2110
27.3410,81.3578
27.3931,81.7798
27.4452,82.3394
27.4972,82.0826
27.5493,82.0917
27.6014,82.5596
27.6535,82.0826
27.7056,81.5046
27.7576,81.4220
27.8097,80.8532
27.8618,80.6881
27.9139,80.2294
27.9660,79.7339
28.0180,79.5413
28.0701,79.0917
28.1222,79.0459
28.1743,79.0917
28.2263,79.2752
28.2784,79.2294
28.3305,79.6881
28.3826,79.5046
28.4347,79.2477
28.4867,79.7890
28.5388,79.6147
28.5909,79.7248
28.6430,79.3853
28.6950,79.5872
28.7471,79.9450
28.7992,79.5505
28.8513,79.2385
28.9034,79.4862
28.9554,80.0000
29.0075,79.8532
29.0596,79.6514
29.1117,79.3670
29.1637,78.8165
29.2158,78.7064
29.2679,78.8440
29.3200,78.8807
29.3721,78.5963
29.4241,78.4037
29.4762,78.8349
29.5283,78.3670
29.5804,78.2844
29.6325,78.0183
29.6845,77.5688
29.7366,77.2385
29.7887,77.3486
29.8408,76.4312
29.8928,76.1927
29.9449,75.9725
29.9970,75.8807
30.0491,75.4862
30.1012,75.3761
30.1532,74.8624
30.2053,75.0000
30.2574,74.5505
30.3095,74.2844
30.3615,74.4220
30.4136,74.5505
30.4657,74.4587
30.5178,74.3761
30.5699,74.7339
30.6219,74.4954
30.6740,74.8165
30.7261,74.5688
30.7782,74.6973
30.8302,75.1927
30.8823,75.2202
30.9344,76.1927
30.9865,75.7615
31.0386,76.3761
31.0906,76.4128
31.1427,76.9450
31.1948,76.8899
31.2469,77.5780
31.2990,77.2018
31.3510,77.3945
31.4031,77.8165
31.4552,77.4128
31.5073,77.7615
31.5593,77.7890
31.6114,77.8899
31.6635,77.9633
31.7156,77.9817
31.7677,77.7431
31.8197,77.6789
31.8718,77.3945
31.9239,77.2385
31.9760,77.5872
32.0280,76.4037
32.0801,75.9725
32.1322,76.8349
32.1843,77.9633
32.2364,77.7156
32.2884,77.7615
32.3405,77.2844
32.3926,75.5505
32.4447,74.1743
32.4967,74.2202
32.5488,75.1651
32.6009,76.1927
32.6530,75.7156
32.7051,76.0826
32.7571,77.2569
32.8092,78.0550
32.8613,78.1835
32.9134,77.6606
32.9655,77.0092
33.0175,76.6422
33.0696,75.7248
33.1217,76.1376
33.1738,75.7156
33.2258,77.1193
33.2779,75.7982
33.3300,72.9083
33.3821,70.8807
33.4342,69.1743
33.4862,68.2385
33.5383,68.9266
33.5904,69.8624
33.6425,68.6422
33.6945,66.6147
33.7466,67.1743
33.7987,66.8716
33.8508,65.7798
33.9029,66.5229
33.9549,66.1651
34.0070,65.3119
34.0591,65.7706
34.1112,65.0000
34.1632,64.7982
34.2153,64.5963
34.2674,64.7248
34.3195,64.5138
34.3716,64.9908
34.4236,64.6789
34.4757,65.2110
34.5278,65.3670
34.5799,65.0092
34.6320,64.8624
34.6840,64.6239
34.7361,64.4220
34.7882,64.5413
34.8403,63.5138
34.8923,63.6881
34.9444,63.6972
34.9965,63.3303
35.0486,63.4404
35.1007,63.6972
35.1527,63.0367
35.2048,62.5596
35.2569,62.6239
35.3090,62.6972
35.3610,62.5138
35.4131,62.3211
35.4652,61.9266
35.5173,61.4495
35.5694,61.2661
35.6214,61.0550
35.6735,60.9083
35.7256,60.7156
35.7777,60.6789
35.8298,60.6239
35.8818,60.4862
35.9339,60.1101
35.9860,59.8991
36.0381,59.7064
36.0901,59.5688
36.1422,59.4128
36.1943,59.2661
36.2464,59.0734
36.2985,59.1009
36.3505,58.8440
36.4026,58.2844
36.4547,58.0642
36.5068,58.0275
36.5588,57.7064
36.6109,57.2661
36.6630,56.9908
36.7151,56.7706
36.7672,56.6330
36.8192,56.2294
36.8713,55.7706
36.9234,55.6147
36.9755,55.1927
37.0275,54.7798
37.0796,54.3303
37.1317,54.1284
37.1838,53.9908
37.2359,53.7064
37.2879,53.4312
37.3400,53.1560
37.3921,52.9541
37.4442,52.5688
37.4963,52.4312
37.5483,52.2477
37.6004,52.2844
37.6525,52.0642
37.7046,51.7431
37.7566,51.3945
37.8087,51.2936
37.8608,51.2844
37.9129,50.7706
37.9650,50.5046
38.0170,50.4404
38.0691,50.4404
38.1212,50.4220
38.1733,50.0826
38.2253,50.1560
38.2774,49.8991
38.3295,49.6514
38.3816,49.3670
38.4337,49.4679
38.4857,49.0550
38.5378,49.3853
38.5899,49.1376
38.6420,48.6514
38.6940,48.4587
38.7461,48.3670
38.7982,48.1560
38.8503,48.0459
38.9024,47.7706
38.9544,47.4587
39.0065,47.4679
39.0586,47.1560
39.1107,47.1651
39.1628,46.9083
39.2148,46.8257
39.2669,46.8899
39.3190,46.8991
39.3711,46.6147
39.4231,46.2661
39.4752,46.1101
39.5273,45.8440
39.5794,45.6330
39.6315,45.4862
39.6835,45.2018
39.7356,44.9817
39.7877,45.1376
39.8398,44.8165
39.8918,44.4312
39.9439,44.2294
39.9960,44.2385
40.0481,44.1927
40.1002,43.7248
40.1522,43.4404
40.2043,43.2477
40.2564,42.9633
40.3085,42.7156
40.3605,42.3670
40.4126,42.2752
40.4647,42.0183
40.5168,41.6972
40.5689,41.0459
40.6209,40.7248
40.6730,40.5872
40.7251,40.3945
40.7772,40.2661
40.8293,39.9266
40.8813,39.8073
40.9334,39.3945
40.9855,39.0367
41.0376,38.6972
41.0896,38.4128
41.1417,38.2752
41.1938,37.6972
41.2459,37.1376
41.2980,36.8073
41.3500,36.5872
41.4021,36.1284
41.4542,35.6055
41.5063,35.3211
41.5583,35.5872
41.6104,34.8807
41.6625,34.4495
41.7146,34.1009
41.7667,33.4679
41.8187,33.3761
41.8708,32.9450
41.9229,32.6789
41.9750,32.5505
42.0270,32.1376
42.0791,31.8532
42.1312,31.6606
42.1833,31.6055
42.2354,31.3945
42.2874,31.0275
42.3395,30.5321
42.3916,30.1468
42.4437,29.9450
42.4958,29.7615
42.5478,29.3761
42.5999,29.1193
42.6520,29.0183
42.7041,28.6606
42.7561,28.1376
42.8082,28.0642
42.8603,27.6789
42.9124,27.2202
42.9645,26.9541
43.0165,26.6330
43.0686,26.4128
43.1207,26.2936
43.1728,25.9725
43.2248,25.6881
43.2769,25.3486
43.3290,25.0826
43.3811,25.0092
43.4332,24.6606
43.4852,24.5138
43.5373,24.3119
43.5894,23.9817
43.6415,23.7064
43.6935,23.3853
43.7456,23.4220
43.7977,23.4220
43.8498,23.4128
43.9019,23.2752
43.9539,23.0734
44.0060,22.9541
44.0581,22.8716
44.1102,22.6789
44.1623,22.4954
44.2143,22.3211
44.2664,21.9266
44.3185,21.8165
44.3706,21.4679
44.4226,21.3853
44.4747,21.1651
44.5268,21.0367
44.5789,20.8899
44.6310,20.6881
44.6830,20.4771
44.7351,20.3853
44.7872,20.1284
44.8393,20.1927
44.8913,20.1651
44.9434,20.1743
44.9955,20.2844
45.0476,20.1468
45.0997,20.0092
45.1517,19.7798
45.2038,19.6514
45.2559,19.7706
45.3080,19.6330
45.3600,19.5138
45.4121,19.4495
45.4642,19.3761
45.5163,19.2752
45.5684,19.2477
45.6204,19.1927
45.6725,19.0917
45.7246,19.0183
45.7767,19.0734
45.8288,18.8807
45.8808,18.9083
45.9329,18.9358
45.9850,18.9174
46.0371,18.8624
46.0891,18.8440
46.1412,18.7890
46.1933,18.7798
46.2454,18.7064
46.2975,18.6514
46.3495,18.5688
46.4016,18.4771
46.4537,18.4312
46.5058,18.3211
46.5578,18.2844
46.6099,18.2385
46.6620,18.1101
46.7141,18.0917
46.7662,18.1009
46.8182,18.0734
46.8703,18.1009
46.9224,18.1101
46.9745,18.1193
47.0265,18.0550
47.0786,18.0000
47.1307,18.0826
47.1828,18.0092
47.2349,17.9358
47.2869,17.9083
47.3390,17.9450
47.3911,18.0000
47.4432,17.9908
47.4953,17.9633
47.5473,17.8440
47.5994,17.7982
47.6515,17.7064
47.7036,17.7615
47.7556,17.7890
47.8077,17.8440
47.8598,17.9266
47.9119,18.0826
47.9640,18.1009
48.0160,18.1835
48.0681,18.1651
48.1202,18.1927
48.1723,18.1651
48.2243,18.3486
48.2764,18.4862
48.3285,18.5229
48.3806,18.5413
48.4327,18.5505
48.4847,18.4587
48.5368,18.4587
48.5889,18.5872
48.6410,18.7431
48.6930,18.7156
48.7451,18.7156
48.7972,18.7890
48.8493,18.8532
48.9014,18.8716
48.9534,18.8899
49.0055,18.9266
49.0576,18.9817
49.1097,18.9541
49.1618,18.9817
49.2138,19.1560
49.2659,19.1468
49.3180,19.2661
49.3701,19.2936
49.4221,19.4128
49.4742,19.4404
49.5263,19.5046
49.5784,19.6239
49.6305,19.6789
49.6825,19.7615
49.7346,19.7890
49.7867,19.8532
49.8388,19.8807
49.8908,19.9174
49.9429,19.9174
49.9950,19.8165
50.0471,19.8349
50.0992,19.9083
50.1512,19.8440
50.2033,19.8349
50.2554,19.8257
50.3075,19.9266
50.3595,19.9358
50.4116,20.0734
50.4637,20.0734
50.5158,20.1743
50.5679,20.2844
50.6199,20.3394
50.6720,20.3486
50.7241,20.3853
50.7762,20.4771
50.8283,20.6606
50.8803,20.6239
50.9324,20.5321
50.9845,20.5872
51.0366,20.5321
51.0886,20.6514
51.1407,20.7248
51.1928,20.8624
51.2449,20.8532
51.2970,20.8991
51.3490,21.0092
51.4011,20.9817
51.4532,21.1009
51.5053,21.1009
51.5573,21.1468
51.6094,21.0917
51.6615,21.1743
51.7136,21.1927
51.7657,21.2110
51.8177,21.3028
51.8698,21.4220
51.9219,21.4954
51.9740,21.6147
52.0260,21.6055
52.0781,21.6514
52.1302,21.7339
52.1823,21.7982
52.2344,21.8073
52.2864,21.7615
52.3385,21.6514
52.3906,21.7064
52.4427,21.7248
52.4948,21.8073
52.5468,21.9174
52.5989,22.0092
52.6510,22.0367
52.7031,22.0734
52.7551,21.9358
52.8072,21.9266
52.8593,21.8073
