Distance_(mm),Gray_Value
1.65459,31.3047
1.65980,31.7109
1.66500,32.0938
1.67020,32.4688
1.67541,33.0312
1.68061,33.2578
1.68581,33.7891
1.69102,34.3125
1.69622,34.7969
1.70142,35.2031
1.70662,35.6875
1.71183,36.0234
1.71703,36.6953
1.72223,37.2969
1.72744,37.9375
1.73264,38.8047
1.73784,39.2578
1.74305,39.8047
1.74825,40.6562
1.75345,41.0703
1.75866,41.9062
1.76386,42.3203
1.76906,43.4609
1.77427,44.0312
1.77947,44.8672
1.78467,45.5859
1.78988,46.3594
1.79508,46.8672
1.80028,47.7734
1.80548,47.6953
1.81069,48.9922
1.81589,49.6094
1.82109,50.6641
1.82630,50.9453
1.83150,51.2656
1.83670,51.7578
1.84191,51.9844
1.84711,52.4688
1.85231,52.9062
1.85752,53.1406
1.86272,53.7031
1.86792,53.6406
1.87312,54.1797
1.87833,54.5781
1.88353,55.4688
1.88873,54.9453
1.89394,55.6328
1.89914,55.8203
1.90434,55.7031
1.90955,55.9141
1.91475,56.3906
1.91995,56.6484
1.92516,56.5469
1.93036,56.8750
1.93556,57.4141
1.94077,57.6797
1.94597,57.9141
1.95117,58.4219
1.95638,59.2188
1.96158,59.4766
1.96678,60.0781
1.97198,60.5859
1.97719,60.5781
1.98239,60.8281
1.98759,61.4844
1.99280,61.6875
1.99800,62.5000
2.00320,62.4922
2.00841,63.3828
2.01361,63.6172
2.01881,64.2891
2.02402,64.7891
2.02922,64.9297
2.03442,65.8359
2.03962,66.3984
2.04483,67.0703
2.05003,67.0234
2.05523,67.6875
2.06044,67.9531
2.06564,68.2969
2.07084,68.6172
2.07605,68.1094
2.08125,68.7969
2.08645,69.6328
2.09166,69.4297
2.09686,69.2266
2.10206,69.0938
2.10727,68.9062
2.11247,69.2109
2.11767,69.3828
2.12287,69.3906
2.12808,69.1484
2.13328,68.7891
2.13848,68.7500
2.14369,68.5156
2.14889,68.7422
2.15409,69.0625
2.15930,68.3516
2.16450,67.6953
2.16970,67.2266
2.17491,66.8672
2.18011,66.2344
2.18531,66.2578
2.19052,66.3984
2.19572,66.6016
2.20092,65.9375
2.20613,65.5312
2.21133,65.6094
2.21653,65.3438
2.22173,64.9297
2.22694,65.2031
2.23214,64.5469
2.23734,64.4141
2.24255,64.0781
2.24775,64.1094
2.25295,63.7031
2.25816,63.4688
2.26336,63.5938
2.26856,63.4531
2.27377,63.0234
2.27897,62.6172
2.28417,62.0312
2.28938,62.3906
2.29458,61.5703
2.29978,61.4141
2.30498,61.1719
2.31019,60.1484
2.31539,60.2266
2.32059,60.2266
2.32580,59.5547
2.33100,59.7188
2.33620,58.8125
2.34141,58.5859
2.34661,58.0234
2.35181,57.2344
2.35702,56.3047
2.36222,55.9062
2.36742,55.5391
2.37263,54.8047
2.37783,54.3516
2.38303,53.1172
2.38823,53.0078
2.39344,51.9922
2.39864,51.6328
2.40384,51.1562
2.40905,50.1641
2.41425,49.8906
2.41945,48.9531
2.42466,48.1094
2.42986,47.8359
2.43506,47.2188
2.44027,46.3672
2.44547,46.3125
2.45067,45.6172
2.45587,44.8516
2.46108,43.9922
2.46628,43.8516
2.47148,43.6016
2.47669,43.3516
2.48189,42.6797
2.48709,41.7656
2.49230,40.1250
2.49750,38.7734
2.50270,37.6875
2.50791,36.9297
2.51311,36.4688
2.51831,36.4531
2.52352,35.9844
2.52872,35.4453
2.53392,34.7812
2.53912,33.8984
2.54433,33.1953
2.54953,32.9219
2.55473,33.0703
2.55994,33.5000
2.56514,33.8672
2.57034,33.5156
2.57555,32.6250
2.58075,31.4453
2.58595,30.5469
2.59116,30.2422
2.59636,29.8047
2.60156,29.5625
2.60677,29.2578
2.61197,28.6172
2.61717,27.7500
2.62238,27.7344
2.62758,27.3906
2.63278,26.5000
2.63798,26.5234
2.64319,26.0078
2.64839,25.5625
2.65359,25.4766
2.65880,24.8750
2.66400,24.6875
2.66920,24.1016
2.67441,23.8828
2.67961,23.4297
2.68481,23.1953
2.69002,22.8828
2.69522,22.7812
2.70042,22.2734
2.70563,22.1719
2.71083,21.9062
2.71603,21.6406
2.72123,21.6797
2.72644,21.4141
2.73164,21.3516
2.73684,21.3203
2.74205,21.2734
2.74725,21.0938
2.75245,21.1016
2.75766,21.0703
2.76286,21.0781
2.76806,21.0547
2.77327,21.1562
2.77847,21.1719
2.78367,21.2188
2.78888,21.2031
2.79408,21.2812
2.79928,21.3672
2.80448,21.5625
2.80969,21.6953
2.81489,21.7656
2.82009,21.9375
2.82530,22.0391
2.83050,22.3516
2.83570,22.5938
2.84091,22.7422
2.84611,23.1250
2.85131,23.3750
2.85652,23.6875
2.86172,23.9453
2.86692,24.3203
2.87212,24.7969
2.87733,25.0547
2.88253,25.5312
2.88773,26.0078
2.89294,26.5703
2.89814,26.8750
2.90334,27.2500
2.90855,27.8672
2.91375,28.4141
2.91895,28.9297
2.92416,29.4766
2.92936,29.9922
2.93456,30.5391
2.93977,30.8281
2.94497,31.4453
2.95017,31.9141
2.95537,32.4609
2.96058,33.0156
2.96578,33.6406
2.97098,34.1328
2.97619,34.8203
2.98139,35.1484
2.98659,35.8672
2.99180,36.5078
2.99700,37.3750
3.00220,37.6094
3.00741,38.3359
3.01261,38.8906
3.01781,39.7031
3.02302,40.1797
3.02822,40.9062
3.03342,41.7188
3.03863,42.5469
3.04383,43.1797
3.04903,43.9297
3.05423,44.7969
3.05944,45.3828
3.06464,46.2266
3.06984,47.0156
3.07505,47.9531
3.08025,48.8672
3.08545,49.7031
3.09066,50.2031
3.09586,51.1406
3.10106,52.0859
3.10627,53.1484
3.11147,54.1250
3.11667,55.3125
3.12188,56.4531
3.12708,57.2109
3.13228,58.2891
3.13748,59.4219
3.14269,60.7812
3.14789,61.3984
3.15309,62.8984
3.15830,63.4453
3.16350,64.4141
3.16870,64.9922
3.17391,66.2578
3.17911,66.6172
3.18431,67.9141
3.18952,69.0547
3.19472,69.8125
3.19992,70.4844
3.20513,71.1719
3.21033,71.9375
3.21553,72.8047
3.22073,73.1484
3.22594,73.7969
3.23114,74.2500
3.23634,75.1797
3.24155,75.3438
3.24675,75.6484
3.25195,76.3047
3.25716,76.4375
3.26236,76.8281
3.26756,77.1406
3.27277,77.2812
3.27797,77.0781
3.28317,77.1016
3.28837,77.7812
