Distance_(mm),Gray_Value
0.00000,18.8065
0.00520,18.7290
0.01041,18.6581
0.01561,18.5677
0.02081,18.5871
0.02602,18.4968
0.03122,18.4839
0.03642,18.3613
0.04163,18.4258
0.04683,18.3677
0.05203,18.3355
0.05723,18.2452
0.06244,18.2387
0.06764,18.2903
0.07284,18.2774
0.07805,18.1677
0.08325,18.1226
0.08845,18.1032
0.09366,18.0903
0.09886,18.0710
0.10406,18.0323
0.10927,17.9871
0.11447,17.9806
0.11967,17.9419
0.12488,17.9226
0.13008,17.9161
0.13528,17.9226
0.14048,17.9032
0.14569,17.9161
0.15089,17.9097
0.15609,17.8903
0.16130,17.8645
0.16650,17.8839
0.17170,17.9484
0.17691,17.9419
0.18211,17.9742
0.18731,17.9742
0.19252,17.9613
0.19772,18.0258
0.20292,17.9935
0.20812,18.0968
0.21333,18.1032
0.21853,18.1355
0.22373,18.2516
0.22894,18.2839
0.23414,18.3613
0.23934,18.4452
0.24455,18.4323
0.24975,18.5226
0.25495,18.6065
0.26016,18.7161
0.26536,18.7613
0.27056,18.8839
0.27577,18.9032
0.28097,19.0323
0.28617,19.1097
0.29138,19.2258
0.29658,19.3161
0.30178,19.4258
0.30698,19.4968
0.31219,19.6387
0.31739,19.8452
0.32259,19.9226
0.32780,20.0452
0.33300,20.2000
0.33820,20.3226
0.34341,20.5097
0.34861,20.6194
0.35381,20.7419
0.35902,20.8903
0.36422,21.0710
0.36942,21.2194
0.37462,21.4581
0.37983,21.5484
0.38503,21.7290
0.39023,21.8968
0.39544,22.0387
0.40064,22.2323
0.40584,22.4452
0.41105,22.5484
0.41625,22.7935
0.42145,23.1097
0.42666,23.2452
0.43186,23.3613
0.43706,23.5935
0.44227,23.9097
0.44747,24.1548
0.45267,24.3484
0.45788,24.6000
0.46308,24.8516
0.46828,25.1677
0.47348,25.4581
0.47869,25.6323
0.48389,25.9935
0.48909,26.3161
0.49430,26.4968
0.49950,26.8323
0.50470,26.9742
0.50991,27.3161
0.51511,27.7226
0.52031,28.1355
0.52552,28.2452
0.53072,28.4129
0.53592,28.7161
0.54112,29.0710
0.54633,29.3742
0.55153,29.6839
0.55673,29.9290
0.56194,30.2387
0.56714,30.3935
0.57234,30.5935
0.57755,30.8516
0.58275,31.3032
0.58795,31.5935
0.59316,31.7290
0.59836,32.2065
0.60356,32.4387
0.60877,32.6258
0.61397,32.8194
0.61917,32.9871
0.62437,33.5742
0.62958,33.7355
0.63478,33.8581
0.63998,34.1419
0.64519,34.6903
0.65039,34.9161
0.65559,35.1290
0.66080,35.2839
0.66600,35.8968
0.67120,35.8968
0.67641,35.8581
0.68161,36.3484
0.68681,36.9355
0.69202,36.9548
0.69722,37.3226
0.70242,37.6968
0.70762,37.9613
0.71283,38.0065
0.71803,38.2129
0.72323,38.3871
0.72844,38.8581
0.73364,38.9161
0.73884,39.0129
0.74405,39.3548
0.74925,40.1355
0.75445,40.2968
0.75966,40.3355
0.76486,40.4903
0.77006,40.7548
0.77527,41.2194
0.78047,41.3290
0.78567,41.6710
0.79088,41.9419
0.79608,41.9742
0.80128,42.2710
0.80648,42.1097
0.81169,42.6065
0.81689,42.1742
0.82209,42.5613
0.82730,42.3871
0.83250,42.7226
0.83770,42.9548
0.84291,43.4129
0.84811,43.0452
0.85331,43.1032
0.85852,43.2774
0.86372,43.0323
0.86892,42.7613
0.87413,42.7806
0.87933,43.2258
0.88453,43.1806
0.88973,42.8323
0.89494,43.1936
0.90014,43.0710
0.90534,43.2000
0.91055,43.2194
0.91575,43.2000
0.92095,43.1161
0.92616,42.8129
0.93136,43.1419
0.93656,43.1936
0.94177,42.9935
0.94697,43.0774
0.95217,42.9226
0.95737,43.2452
0.96258,43.1677
0.96778,43.1806
0.97298,42.9613
0.97819,43.5161
0.98339,42.8774
0.98859,42.8581
0.99380,42.8000
0.99900,43.0129
1.00420,43.3032
1.00941,43.2258
1.01461,42.9355
1.01981,43.1484
1.02502,42.5548
1.03022,42.7097
1.03542,42.3032
1.04062,42.8194
1.04583,42.3032
1.05103,42.5290
1.05623,42.3097
1.06144,42.3484
1.06664,42.2516
1.07184,41.9484
1.07705,41.5806
1.08225,41.2774
1.08745,41.2000
1.09266,40.8710
1.09786,40.3806
1.10306,40.5742
1.10827,40.1355
1.11347,39.9484
1.11867,39.2968
1.12388,39.0387
1.12908,38.6710
1.13428,38.2065
1.13948,37.6968
1.14469,37.3742
1.14989,36.9032
1.15509,36.7226
1.16030,36.3677
1.16550,36.0387
1.17070,35.7806
1.17591,35.2452
1.18111,34.8452
1.18631,34.4645
1.19152,34.0968
1.19672,33.8064
1.20192,33.7806
1.20712,33.3806
1.21233,33.1936
1.21753,32.9484
1.22273,32.2968
1.22794,31.9097
1.23314,31.7484
1.23834,31.2839
1.24355,31.1742
1.24875,30.9484
1.25395,30.5484
1.25916,30.2903
1.26436,29.8000
1.26956,29.4000
1.27477,29.0000
1.27997,28.7613
1.28517,28.6000
1.29037,28.4258
1.29558,28.0516
1.30078,27.8194
1.30598,27.4903
1.31119,27.0774
1.31639,26.9355
1.32159,26.4774
1.32680,26.4194
1.33200,26.2452
1.33720,25.9032
1.34241,25.7548
1.34761,25.4323
1.35281,25.2258
1.35802,24.9677
1.36322,24.7032
1.36842,24.4387
1.37363,24.1806
1.37883,23.8968
1.38403,23.8258
1.38923,23.5097
1.39444,23.2258
1.39964,22.9548
1.40484,22.7419
1.41005,22.5097
1.41525,22.3677
1.42045,22.1290
1.42566,22.0065
1.43086,21.7419
1.43606,21.5226
1.44127,21.2774
1.44647,21.1032
1.45167,20.9032
1.45687,20.7355
1.46208,20.5097
1.46728,20.3871
1.47248,20.2645
1.47769,20.1484
1.48289,19.9484
1.48809,19.8129
1.49330,19.6968
1.49850,19.6000
1.50370,19.5677
1.50891,19.4581
1.51411,19.3677
1.51931,19.2839
1.52452,19.1613
1.52972,19.1355
1.53492,19.1677
1.54013,19.1548
1.54533,19.1871
1.55053,19.1419
1.55573,19.1742
1.56094,19.2065
1.56614,19.2323
1.57134,19.3613
1.57655,19.3806
1.58175,19.5032
1.58695,19.5871
1.59216,19.7032
1.59736,19.9032
1.60256,19.9742
1.60777,20.1548
1.61297,20.2645
1.61817,20.4194
1.62338,20.6129
1.62858,20.6968
1.63378,20.8000
1.63898,21.0839
1.64419,21.2452
1.64939,21.4258
1.65459,21.6774
1.65980,21.8710
1.66500,22.0581
1.67020,22.2065
1.67541,22.4387
1.68061,22.7355
1.68581,23.0903
1.69102,23.3290
1.69622,23.6516
1.70142,23.8774
1.70662,24.2774
1.71183,24.5871
1.71703,24.9806
1.72223,25.3935
1.72744,25.8194
1.73264,26.2774
1.73784,26.6581
1.74305,26.9935
1.74825,27.6194
1.75345,27.8710
1.75866,28.4968
1.76386,28.9226
1.76906,29.4645
1.77427,29.8516
1.77947,30.3290
1.78467,30.7677
1.78988,31.3677
1.79508,31.6129
1.80028,32.2452
1.80548,32.5419
1.81069,33.1484
1.81589,33.4968
1.82109,34.1871
1.82630,34.4129
1.83150,34.6645
1.83670,35.0387
1.84191,35.4129
1.84711,35.8516
1.85231,36.1936
1.85752,36.5355
1.86272,37.1097
1.86792,37.3742
1.87312,37.7742
1.87833,38.2194
1.88353,38.9419
1.88873,38.9677
1.89394,39.6323
1.89914,39.9677
1.90434,40.3677
1.90955,40.6710
1.91475,41.4452
1.91995,41.8968
1.92516,42.0581
1.93036,42.7677
1.93556,43.5290
1.94077,44.1161
1.94597,44.9290
1.95117,45.5355
1.95638,46.5290
1.96158,46.9419
1.96678,47.9484
1.97198,48.7097
1.97719,49.5290
1.98239,50.1871
1.98759,51.1613
1.99280,51.6645
1.99800,52.4774
2.00320,52.9935
2.00841,54.1677
2.01361,54.8710
2.01881,55.7935
2.02402,56.0000
2.02922,56.5548
2.03442,57.6903
2.03962,58.5935
2.04483,59.2710
2.05003,59.4065
2.05523,60.2129
2.06044,60.6452
2.06564,60.8000
2.07084,61.1871
2.07605,61.0000
2.08125,62.0000
2.08645,62.4903
2.09166,62.4645
2.09686,62.3806
2.10206,62.5935
2.10727,62.4645
2.11247,63.0452
2.11767,63.1936
2.12287,63.7161
2.12808,63.4903
2.13328,63.5161
2.13848,63.6645
2.14369,63.8000
2.14889,64.3097
2.15409,64.8968
2.15930,64.8903
2.16450,64.8581
2.16970,64.7871
2.17491,65.0258
2.18011,64.8968
2.18531,65.5097
2.19052,66.0839
2.19572,66.6387
2.20092,66.7355
2.20613,66.8839
2.21133,67.8452
2.21653,68.6065
2.22173,68.5742
2.22694,69.2645
2.23214,69.0129
2.23734,69.3290
2.24255,69.6581
2.24775,70.4000
2.25295,69.9097
2.25816,70.1097
2.26336,70.5419
2.26856,70.4774
2.27377,70.3935
2.27897,70.3742
2.28417,70.1226
2.28938,70.8323
2.29458,70.4194
2.29978,70.4839
2.30498,70.2839
2.31019,69.8839
2.31539,69.9806
2.32059,70.1871
2.32580,69.7871
2.33100,70.2581
2.33620,69.6710
2.34141,69.4710
2.34661,69.2129
2.35181,68.9613
2.35702,68.4968
2.36222,68.1419
2.36742,68.0194
2.37263,67.8968
2.37783,67.4516
2.38303,67.1355
2.38823,67.1548
2.39344,66.7161
2.39864,66.4516
2.40384,65.9484
2.40905,65.5548
2.41425,65.3355
2.41945,64.7935
2.42466,64.3226
2.42986,64.1032
2.43506,64.0129
2.44027,63.1355
2.44547,63.0774
2.45067,62.9742
2.45587,62.9806
2.46108,62.5355
2.46628,62.3806
2.47148,61.9548
2.47669,61.7935
2.48189,61.6129
2.48709,61.6000
2.49230,60.5161
2.49750,59.9677
2.50270,59.0581
2.50791,58.7161
2.51311,58.0194
2.51831,57.8968
2.52352,57.3355
2.52872,56.8452
2.53392,56.3419
2.53912,55.2065
2.54433,54.8839
2.54953,54.2581
2.55473,54.1032
2.55994,53.6387
2.56514,53.5290
2.57034,53.2710
2.57555,52.1290
2.58075,51.2452
2.58595,50.5161
2.59116,50.1097
2.59636,49.7806
2.60156,48.1290
2.60677,47.9548
2.61197,47.5161
2.61717,46.1484
2.62238,45.5484
2.62758,44.9484
2.63278,44.2710
2.63798,44.0194
2.64319,43.1742
2.64839,42.3032
2.65359,41.8516
2.65880,41.6387
2.66400,41.5097
2.66920,40.1355
2.67441,39.1613
2.67961,38.4903
2.68481,38.1484
2.69002,37.5548
2.69522,36.8000
2.70042,35.5742
2.70563,34.3871
2.71083,33.7032
2.71603,32.9871
2.72123,32.3161
2.72644,31.7226
2.73164,31.1935
2.73684,30.9290
2.74205,30.8710
2.74725,30.5677
2.75245,30.6903
2.75766,30.7484
2.76286,30.2387
2.76806,29.4516
2.77327,28.9613
2.77847,28.9677
2.78367,28.8387
2.78888,28.1355
2.79408,27.0903
2.79928,26.4839
2.80448,26.2452
2.80969,26.0387
2.81489,25.5806
2.82009,25.0258
2.82530,24.5806
2.83050,24.4581
2.83570,24.0323
2.84091,23.6581
2.84611,23.5355
2.85131,23.0903
2.85652,22.9419
2.86172,22.6774
2.86692,22.4258
2.87212,22.3032
2.87733,22.0387
2.88253,21.9161
2.88773,21.7677
2.89294,21.8194
2.89814,21.4774
2.90334,21.4258
2.90855,21.2645
2.91375,21.2129
2.91895,21.1355
2.92416,21.0903
2.92936,20.9935
2.93456,21.0323
2.93977,20.8839
2.94497,20.9806
2.95017,20.9290
2.95537,21.0581
2.96058,21.0968
2.96578,21.2000
2.97098,21.3226
2.97619,21.5419
2.98139,21.6323
2.98659,21.8000
2.99180,22.0323
2.99700,22.3677
3.00220,22.5161
3.00741,22.9226
3.01261,23.1097
3.01781,23.4774
3.02302,23.7806
3.02822,24.1548
3.03342,24.5097
3.03863,25.0000
3.04383,25.3226
3.04903,25.8774
3.05423,26.3484
3.05944,26.7355
3.06464,27.2710
3.06984,27.8258
3.07505,28.2581
3.08025,28.9484
3.08545,29.3935
3.09066,30.0000
3.09586,30.5548
3.10106,31.1806
3.10627,31.7935
3.11147,32.4774
3.11667,33.0774
3.12188,33.8968
3.12708,34.4323
3.13228,35.2000
3.13748,35.8710
3.14269,36.6710
3.14789,37.1677
3.15309,38.2516
3.15830,38.7742
3.16350,39.4516
3.16870,40.0645
3.17391,40.8903
3.17911,41.3806
3.18431,42.2903
3.18952,43.2323
3.19472,44.0710
3.19992,44.7161
3.20513,45.3097
3.21033,46.1677
3.21553,46.8194
3.22073,47.3806
3.22594,48.2645
3.23114,48.9419
3.23634,49.7806
3.24155,50.3677
3.24675,50.9161
3.25195,51.8516
3.25716,52.4258
3.26236,53.4000
3.26756,54.3613
3.27277,54.9226
3.27797,55.1742
3.28317,56.0968
3.28837,56.9742
3.29358,58.1419
3.29878,58.8968
3.30398,59.7355
3.30919,60.4968
3.31439,61.1032
3.31959,62.5871
3.32480,62.8000
3.33000,63.8774
3.33520,64.6129
3.34041,65.9806
3.34561,66.7871
3.35081,68.0129
3.35602,69.3613
3.36122,69.8452
3.36642,70.7226
3.37162,71.9935
3.37683,72.6710
3.38203,73.6516
3.38723,74.4258
3.39244,76.1871
3.39764,76.0903
3.40284,76.7548
3.40805,76.4129
3.41325,76.6774
3.41845,77.5355
3.42366,77.9613
3.42886,78.2903
3.43406,78.8129
3.43927,78.6581
3.44447,79.2452
3.44967,79.3226
3.45487,79.6452
3.46008,79.4516
3.46528,79.5484
3.47048,80.0323
3.47569,80.2387
3.48089,80.3290
3.48609,80.2258
3.49130,80.4129
3.49650,80.6581
3.50170,80.4258
3.50691,80.7806
3.51211,80.9677
3.51731,80.7161
3.52252,81.0839
3.52772,81.5677
3.53292,81.7742
3.53813,81.8774
3.54333,81.8516
3.54853,82.3484
3.55373,82.4968
3.55894,82.6323
3.56414,82.8774
3.56934,82.7677
3.57455,82.9548
3.57975,82.9548
3.58495,83.1548
3.59016,83.2839
3.59536,83.2452
3.60056,83.2129
3.60577,83.1419
3.61097,83.2774
3.61617,83.1613
3.62138,83.5871
3.62658,83.6710
3.63178,83.6065
3.63698,83.1419
3.64219,83.0323
3.64739,82.8000
3.65259,82.5290
3.65780,82.6710
3.66300,82.3935
3.66820,82.1677
3.67341,81.7548
3.67861,81.5226
3.68381,80.9871
3.68902,80.7032
3.69422,80.5677
3.69942,79.9871
3.70462,79.5161
3.70983,79.0710
3.71503,78.6581
3.72023,78.0065
3.72544,77.4516
3.73064,76.8129
3.73584,76.4064
3.74105,75.8710
3.74625,75.4258
3.75145,74.7355
3.75666,74.2774
3.76186,73.7742
3.76706,73.0903
3.77227,72.4129
3.77747,72.1613
3.78267,71.8258
3.78787,71.4968
3.79308,70.7935
3.79828,70.4903
3.80348,70.3871
